collection;date_sampling;date_assay;time_assay;ID;treatment;temperature;daily_mean;1-week_mean;2-week_mean;generation;vial_number;Ctmax;sex_confirmed;length1;length2;length3;position;species_gen;species;comment
4;2022-06-27;2022-07-15;afternoon;220715R1;warm;18;18;18;18;f1;1;28.98;f;669;682;666;top;not confirmed;hudsonica;
4;2022-06-27;2022-07-15;afternoon;220715R2;warm;18;18;18;18;f1;2;28.32;m;615;618;622;top;not confirmed;hudsonica;
4;2022-06-27;2022-07-15;afternoon;220715R3;warm;18;18;18;18;f1;3;28.46;f;655;661;658;side;not confirmed;hudsonica;
4;2022-06-27;2022-07-15;afternoon;220715R4;warm;18;18;18;18;f1;4;28.00;m;644;648;647;side;not confirmed;hudsonica;
4;2022-06-27;2022-07-15;afternoon;220715R5;warm;18;18;18;18;f1;5;28.88;f;743;740;737;top;not confirmed;hudsonica;
4;2022-06-27;2022-07-15;afternoon;220715R6;warm;18;18;18;18;f1;6;34.81;f;799;796;803;side;tonsa;tonsa;
4;2022-06-27;2022-07-15;afternoon;220715R7;warm;18;18;18;18;f1;7;33.78;m;675;675;685;top;tonsa;tonsa;
4;2022-06-27;2022-07-15;afternoon;220715R8;warm;18;18;18;18;f1;8;28.55;f;631;638;628;top;not confirmed;hudsonica;
4;2022-06-27;2022-07-15;afternoon;220715R9;warm;18;18;18;18;f1;9;28.65;m;618;625;619;top;not confirmed;hudsonica;
4;2022-06-27;2022-07-15;afternoon;220715R10;warm;18;18;18;18;f1;10;34.34;m;707;702;698;side;tonsa;tonsa;
5;2022-07-19;2022-07-21;morning;220721R1;wild;18.3;19.16;18.50;18.11;parental;1;29.26;m;667;654;667;side;not confirmed;hudsonica;
5;2022-07-19;2022-07-21;morning;220721R2;wild;18.3;19.16;18.50;18.11;parental;2;29.70;f;719;710;717;side;not confirmed;hudsonica;
5;2022-07-19;2022-07-21;morning;220721R3;wild;18.3;19.16;18.50;18.11;parental;3;28.71;m;642;641;642;top;not confirmed;hudsonica;
5;2022-07-19;2022-07-21;morning;220721R4;wild;18.3;19.16;18.50;18.11;parental;4;29.10;f;695;713;707;side;not confirmed;hudsonica;
5;2022-07-19;2022-07-21;morning;220721R5;wild;18.3;19.16;18.50;18.11;parental;5;30.77;f;741;748;739;side;hudsonica;hudsonica;
5;2022-07-19;2022-07-21;morning;220721R6;wild;18.3;19.16;18.50;18.11;parental;6;28.86;m;645;638;654;side;not confirmed;hudsonica;
5;2022-07-19;2022-07-21;morning;220721R7;wild;18.3;19.16;18.50;18.11;parental;7;28.51;m;621;625;635;top;not confirmed;hudsonica;
5;2022-07-19;2022-07-21;morning;220721R8;wild;18.3;19.16;18.50;18.11;parental;8;28.59;m;677;666;671;side;not confirmed;hudsonica;
5;2022-07-19;2022-07-21;morning;220721R9;wild;18.3;19.16;18.50;18.11;parental;9;30.29;f;665;675;664;side;not confirmed;hudsonica;
5;2022-07-19;2022-07-21;morning;220721R10;wild;18.3;19.16;18.50;18.11;parental;10;28.99;f;721;734;740;side;not confirmed;hudsonica;
5;2022-07-19;2022-07-21;afternoon;220721L1;wild;18.3;19.16;18.50;18.11;parental;1;35.54;f;822;819;822;top;tonsa;tonsa;
5;2022-07-19;2022-07-21;afternoon;220721L2;wild;18.3;19.16;18.50;18.11;parental;2;29.15;m;675;673;670;side;not confirmed;hudsonica;
5;2022-07-19;2022-07-21;afternoon;220721L3;wild;18.3;19.16;18.50;18.11;parental;3;28.93;f;678;682;684;top;not confirmed;hudsonica;
5;2022-07-19;2022-07-21;afternoon;220721L4;wild;18.3;19.16;18.50;18.11;parental;4;29.65;f;704;703;703;side;hudsonica;hudsonica;
5;2022-07-19;2022-07-21;afternoon;220721L5;wild;18.3;19.16;18.50;18.11;parental;5;28.69;m;628;632;635;top;not confirmed;hudsonica;
5;2022-07-19;2022-07-21;afternoon;220721L6;wild;18.3;19.16;18.50;18.11;parental;6;28.34;m;614;613;620;top;not confirmed;hudsonica;
5;2022-07-19;2022-07-21;afternoon;220721L7;wild;18.3;19.16;18.50;18.11;parental;7;28.79;m;642;645;636;top;not confirmed;hudsonica;
5;2022-07-19;2022-07-21;afternoon;220721L8;wild;18.3;19.16;18.50;18.11;parental;8;30.83;f;664;663;666;side;hudsonica;hudsonica;
5;2022-07-19;2022-07-21;afternoon;220721L9;wild;18.3;19.16;18.50;18.11;parental;9;28.49;m;668;667;667;top;failed;hudsonica;
5;2022-07-19;2022-07-21;afternoon;220721L10;wild;18.3;19.16;18.50;18.11;parental;10;29.41;f;671;672;666;side;not confirmed;hudsonica;
5;2022-07-19;2022-07-22;morning;220722L1;wild;18.3;19.16;18.50;18.11;parental;1;28.46;m;630;633;637;side;not confirmed;hudsonica;
5;2022-07-19;2022-07-22;morning;220722L2;wild;18.3;19.16;18.50;18.11;parental;2;28.82;f;707;713;704;top;not confirmed;hudsonica;
5;2022-07-19;2022-07-22;morning;220722L3;wild;18.3;19.16;18.50;18.11;parental;3;28.34;m;668;671;668;side;hudsonica;hudsonica;
5;2022-07-19;2022-07-22;morning;220722L4;wild;18.3;19.16;18.50;18.11;parental;4;28.06;f;705;701;710;side;not confirmed;hudsonica;
5;2022-07-19;2022-07-22;morning;220722L5;wild;18.3;19.16;18.50;18.11;parental;5;29.03;f;724;722;730;side;not confirmed;hudsonica;
5;2022-07-19;2022-07-22;morning;220722L6;wild;18.3;19.16;18.50;18.11;parental;6;28.16;m;681;671;674;side;not confirmed;hudsonica;
5;2022-07-19;2022-07-22;morning;220722L7;wild;18.3;19.16;18.50;18.11;parental;7;29.25;f;749;741;748;side;not confirmed;hudsonica;
5;2022-07-19;2022-07-22;morning;220722L8;wild;18.3;19.16;18.50;18.11;parental;8;34.05;m;766;764;769;side;tonsa;tonsa;
5;2022-07-19;2022-07-22;morning;220722L9;wild;18.3;19.16;18.50;18.11;parental;9;29.51;f;730;733;733;top;not confirmed;hudsonica;
5;2022-07-19;2022-07-22;morning;220722L10;wild;18.3;19.16;18.50;18.11;parental;10;28.95;m;667;659;661;side;not confirmed;hudsonica;
5;2022-07-19;2022-07-22;afternoon;220722R1;wild;18.3;19.16;18.50;18.11;parental;1;29.15;m;646;639;646;side;not confirmed;hudsonica;
5;2022-07-19;2022-07-22;afternoon;220722R2;wild;18.3;19.16;18.50;18.11;parental;2;34.33;m;769;769;772;top;tonsa;tonsa;
5;2022-07-19;2022-07-22;afternoon;220722R3;wild;18.3;19.16;18.50;18.11;parental;3;29.43;f;674;679;674;side;not confirmed;hudsonica;
5;2022-07-19;2022-07-22;afternoon;220722R4;wild;18.3;19.16;18.50;18.11;parental;4;29.93;f;726;726;730;top;not confirmed;hudsonica;
5;2022-07-19;2022-07-22;afternoon;220722R5;wild;18.3;19.16;18.50;18.11;parental;5;34.30;m;716;727;717;top;tonsa;tonsa;
5;2022-07-19;2022-07-22;afternoon;220722R6;wild;18.3;19.16;18.50;18.11;parental;6;29.53;f;714;715;724;side;not confirmed;hudsonica;
5;2022-07-19;2022-07-22;afternoon;220722R7;wild;18.3;19.16;18.50;18.11;parental;7;29.35;m;665;658;665;side;not confirmed;hudsonica;
5;2022-07-19;2022-07-22;afternoon;220722R8;wild;18.3;19.16;18.50;18.11;parental;8;34.94;m;759;759;762;top;tonsa;tonsa;
5;2022-07-19;2022-07-22;afternoon;220722R9;wild;18.3;19.16;18.50;18.11;parental;9;29.62;f;679;688;682;side;not confirmed;hudsonica;
5;2022-07-19;2022-07-22;afternoon;220722R10;wild;18.3;19.16;18.50;18.11;parental;10;29.72;f;707;695;705;side;not confirmed;hudsonica;
5;2022-07-19;2022-08-04;morning;220804R1;warm;18;18;18;18;f1;1;35.49;f;729;736;722;top;not confirmed;tonsa;
5;2022-07-19;2022-08-04;morning;220804R2;warm;18;18;18;18;f1;2;35.28;f;719;723;722;side;not confirmed;tonsa;
5;2022-07-19;2022-08-04;morning;220804R3;warm;18;18;18;18;f1;3;34.93;m;710;714;710;top;not confirmed;tonsa;
5;2022-07-19;2022-08-04;morning;220804R4;warm;18;18;18;18;f1;4;34.97;m;699;694;691;side;not confirmed;tonsa;
5;2022-07-19;2022-08-04;morning;220804R5;warm;18;18;18;18;f1;5;35.45;f;820;814;817;side;not confirmed;tonsa;
5;2022-07-19;2022-08-04;morning;220804R6;warm;18;18;18;18;f1;6;34.77;m;708;711;707;side;not confirmed;tonsa;
5;2022-07-19;2022-08-04;morning;220804R7;warm;18;18;18;18;f1;7;34.83;m;671;670;673;side;tonsa;tonsa;
5;2022-07-19;2022-08-04;morning;220804R8;warm;18;18;18;18;f1;8;35.07;f;733;735;731;side;not confirmed;tonsa;
5;2022-07-19;2022-08-04;morning;220804R9;warm;18;18;18;18;f1;9;35.37;f;735;731;728;side;not confirmed;tonsa;
5;2022-07-19;2022-08-04;morning;220804R10;warm;18;18;18;18;f1;10;35.17;m;677;676;680;side;not confirmed;tonsa;additional female in vial
5;2022-07-19;2022-08-04;afternoon;220804L1;warm;18;18;18;18;f1;1;35.59;m;664;666;668;side;not confirmed;tonsa;
5;2022-07-19;2022-08-04;afternoon;220804L2;warm;18;18;18;18;f1;2;36.02;f;755;758;755;top;tonsa;tonsa;
5;2022-07-19;2022-08-04;afternoon;220804L3;warm;18;18;18;18;f1;3;35.70;f;824;827;826;side;not confirmed;tonsa;
5;2022-07-19;2022-08-04;afternoon;220804L4;warm;18;18;18;18;f1;4;35.16;m;658;645;652;side;not confirmed;tonsa;
5;2022-07-19;2022-08-04;afternoon;220804L5;warm;18;18;18;18;f1;5;35.90;f;754;755;757;side;not confirmed;tonsa;
5;2022-07-19;2022-08-04;afternoon;220804L6;warm;18;18;18;18;f1;6;34.70;m;686;692;685;top;tonsa;tonsa;
5;2022-07-19;2022-08-04;afternoon;220804L7;warm;18;18;18;18;f1;7;35.53;f;755;765;752;top;not confirmed;tonsa;
5;2022-07-19;2022-08-04;afternoon;220804L8;warm;18;18;18;18;f1;8;35.25;m;671;671;668;top;not confirmed;tonsa;
5;2022-07-19;2022-08-04;afternoon;220804L9;warm;18;18;18;18;f1;9;34.37;m;707;708;702;side;not confirmed;tonsa;
5;2022-07-19;2022-08-04;afternoon;220804L10;warm;18;18;18;18;f1;10;35.97;f;855;843;857;side;not confirmed;tonsa;
5;2022-07-19;2022-08-05;morning;220805L1;warm;18;18;18;18;f1;1;35.94;f;743;749;740;top;not confirmed;tonsa;
5;2022-07-19;2022-08-05;morning;220805L2;warm;18;18;18;18;f1;2;34.55;m;694;698;698;top;not confirmed;tonsa;
5;2022-07-19;2022-08-05;morning;220805L3;warm;18;18;18;18;f1;3;35.10;m;689;695;692;side;not confirmed;tonsa;
5;2022-07-19;2022-08-05;morning;220805L4;warm;18;18;18;18;f1;4;35.70;f;805;805;814;side;not confirmed;tonsa;
5;2022-07-19;2022-08-05;morning;220805L5;warm;18;18;18;18;f1;5;34.79;m;678;684;681;side;not confirmed;tonsa;
5;2022-07-19;2022-08-05;morning;220805L6;warm;18;18;18;18;f1;6;35.81;m;690;702;698;side;not confirmed;tonsa;
5;2022-07-19;2022-08-05;morning;220805L7;warm;18;18;18;18;f1;7;35.94;f;776;769;775;side;not confirmed;tonsa;
5;2022-07-19;2022-08-05;morning;220805L8;warm;18;18;18;18;f1;8;35.46;m;713;709;712;side;tonsa;tonsa;
5;2022-07-19;2022-08-05;morning;220805L9;warm;18;18;18;18;f1;9;35.55;f;779;786;779;side;tonsa;tonsa;
5;2022-07-19;2022-08-05;morning;220805L10;warm;18;18;18;18;f1;10;35.86;f;852;852;849;top;not confirmed;tonsa;
5;2022-07-19;2022-08-05;afternoon;220805R1;warm;18;18;18;18;f1;1;35.46;f;756;767;760;top;not confirmed;tonsa;
5;2022-07-19;2022-08-05;afternoon;220805R2;warm;18;18;18;18;f1;2;34.01;m;683;682;686;top;not confirmed;tonsa;temp jump between 33.95-34.06
5;2022-07-19;2022-08-05;afternoon;220805R3;warm;18;18;18;18;f1;3;35.58;f;758;752;769;side;not confirmed;tonsa;temp jump between 35.55-35.61
5;2022-07-19;2022-08-05;afternoon;220805R4;warm;18;18;18;18;f1;4;35.31;f;794;795;802;top;not confirmed;tonsa;temp jump between 35.34-35.27
5;2022-07-19;2022-08-05;afternoon;220805R5;warm;18;18;18;18;f1;5;35.33;m;682;682;690;side;not confirmed;tonsa;
5;2022-07-19;2022-08-05;afternoon;220805R6;warm;18;18;18;18;f1;6;35.67;f;728;734;722;top;not confirmed;tonsa;
5;2022-07-19;2022-08-05;afternoon;220805R7;warm;18;18;18;18;f1;7;34.86;m;639;642;642;top;not confirmed;tonsa;
5;2022-07-19;2022-08-05;afternoon;220805R8;warm;18;18;18;18;f1;8;34.81;m;712;710;709;top;not confirmed;tonsa;
5;2022-07-19;2022-08-05;afternoon;220805R9;warm;18;18;18;18;f1;9;34.97;m;658;658;662;top;not confirmed;tonsa;
5;2022-07-19;2022-08-05;afternoon;220805R10;warm;18;18;18;18;f1;10;35.47;f;814;814;809;side;not confirmed;tonsa;temp jump between 35.43-35.51
4;2022-06-27;2022-08-08;morning;220808R1;cold;11;11;11;11;f1;1;28.37;f;730;727;730;side;not confirmed;hudsonica;
4;2022-06-27;2022-08-08;morning;220808R2;cold;11;11;11;11;f1;2;27.96;m;657;664;654;side;not confirmed;hudsonica;
4;2022-06-27;2022-08-08;morning;220808R3;cold;11;11;11;11;f1;3;27.32;m;703;710;706;top;not confirmed;hudsonica;
4;2022-06-27;2022-08-08;morning;220808R4;cold;11;11;11;11;f1;4;28.88;f;745;749;742;side;not confirmed;hudsonica;
4;2022-06-27;2022-08-08;morning;220808R5;cold;11;11;11;11;f1;5;27.66;f;723;729;729;side;not confirmed;hudsonica;additional juvenile inside
4;2022-06-27;2022-08-08;morning;220808R6;cold;11;11;11;11;f1;6;28.45;m;666;676;671;side;not confirmed;hudsonica;
4;2022-06-27;2022-08-08;morning;220808R7;cold;11;11;11;11;f1;7;28.53;m;701;705;705;top;not confirmed;hudsonica;
4;2022-06-27;2022-08-08;morning;220808R8;cold;11;11;11;11;f1;8;28.70;f;774;774;775;side;not confirmed;hudsonica;
4;2022-06-27;2022-08-08;morning;220808R9;cold;11;11;11;11;f1;9;28.78;f;742;736;739;side;not confirmed;hudsonica;
4;2022-06-27;2022-08-08;morning;220808R10;cold;11;11;11;11;f1;10;27.87;m;676;669;682;side;not confirmed;hudsonica;
4;2022-06-27;2022-08-08;afternoon;220808L1;cold;11;11;11;11;f1;1;28.40;m;661;661;660;top;not confirmed;hudsonica;
4;2022-06-27;2022-08-08;afternoon;220808L2;cold;11;11;11;11;f1;2;28.06;f;761;760;761;side;not confirmed;hudsonica;
4;2022-06-27;2022-08-08;afternoon;220808L3;cold;11;11;11;11;f1;3;28.64;f;756;755;755;side;not confirmed;hudsonica;
4;2022-06-27;2022-08-08;afternoon;220808L4;cold;11;11;11;11;f1;4;27.42;m;701;692;688;top;not confirmed;hudsonica;
4;2022-06-27;2022-08-08;afternoon;220808L5;cold;11;11;11;11;f1;5;29.34;f;771;763;767;side;not confirmed;hudsonica;
4;2022-06-27;2022-08-08;afternoon;220808L6;cold;11;11;11;11;f1;6;26.77;m;712;719;722;side;not confirmed;hudsonica;
4;2022-06-27;2022-08-08;afternoon;220808L7;cold;11;11;11;11;f1;7;28.22;f;737;740;740;top;not confirmed;hudsonica;
4;2022-06-27;2022-08-08;afternoon;220808L8;cold;11;11;11;11;f1;8;26.86;m;690;694;700;top;not confirmed;hudsonica;
4;2022-06-27;2022-08-08;afternoon;220808L9;cold;11;11;11;11;f1;9;27.55;m;683;690;687;side;not confirmed;hudsonica;
4;2022-06-27;2022-08-08;afternoon;220808L10;cold;11;11;11;11;f1;10;28.32;f;781;788;778;top;not confirmed;hudsonica;
4;2022-06-27;2022-08-09;morning;220809L1;cold;11;11;11;11;f1;1;27.23;m;671;672;678;side;not confirmed;hudsonica;
4;2022-06-27;2022-08-09;morning;220809L2;cold;11;11;11;11;f1;2;27.67;m;715;711;709;side;not confirmed;hudsonica;
4;2022-06-27;2022-08-09;morning;220809L3;cold;11;11;11;11;f1;3;27.32;m;684;681;687;top;not confirmed;hudsonica;
4;2022-06-27;2022-08-09;morning;220809L4;cold;11;11;11;11;f1;4;29.43;f;729;729;736;side;not confirmed;hudsonica;
4;2022-06-27;2022-08-09;morning;220809L5;cold;11;11;11;11;f1;5;28.77;m;731;727;730;side;not confirmed;hudsonica;
4;2022-06-27;2022-08-09;morning;220809L6;cold;11;11;11;11;f1;6;27.54;f;723;723;726;top;not confirmed;hudsonica;
4;2022-06-27;2022-08-09;morning;220809L7;cold;11;11;11;11;f1;7;28.65;f;750;749;745;side;not confirmed;hudsonica;
4;2022-06-27;2022-08-09;morning;220809L8;cold;11;11;11;11;f1;8;27.41;m;681;681;687;top;not confirmed;hudsonica;
4;2022-06-27;2022-08-09;morning;220809L9;cold;11;11;11;11;f1;9;28.23;f;694;699;700;side;not confirmed;hudsonica;
4;2022-06-27;2022-08-09;morning;220809L10;cold;11;11;11;11;f1;10;28.07;f;732;742;732;top;not confirmed;hudsonica;
4;2022-06-27;2022-08-09;afternoon;220809R1;cold;11;11;11;11;f1;1;28.40;m;694;691;684;top;not confirmed;hudsonica;
4;2022-06-27;2022-08-09;afternoon;220809R2;cold;11;11;11;11;f1;2;28.48;f;756;762;759;top;not confirmed;hudsonica;
4;2022-06-27;2022-08-09;afternoon;220809R3;cold;11;11;11;11;f1;3;26.87;m;657;666;664;top;not confirmed;hudsonica;
4;2022-06-27;2022-08-09;afternoon;220809R4;cold;11;11;11;11;f1;4;27.54;f;770;766;764;side;not confirmed;hudsonica;
4;2022-06-27;2022-08-09;afternoon;220809R5;cold;11;11;11;11;f1;5;26.97;m;703;691;697;side;not confirmed;hudsonica;
4;2022-06-27;2022-08-09;afternoon;220809R6;cold;11;11;11;11;f1;6;28.64;f;766;762;763;side;not confirmed;hudsonica;
4;2022-06-27;2022-08-09;afternoon;220809R7;cold;11;11;11;11;f1;7;27.24;m;684;674;684;top;not confirmed;hudsonica;
4;2022-06-27;2022-08-09;afternoon;220809R8;cold;11;11;11;11;f1;8;28.04;f;695;689;693;side;not confirmed;hudsonica;
4;2022-06-27;2022-08-09;afternoon;220809R9;cold;11;11;11;11;f1;9;29.12;f;775;771;765;side;not confirmed;hudsonica;
4;2022-06-27;2022-08-09;afternoon;220809R10;cold;11;11;11;11;f1;10;28.11;m;719;726;720;side;not confirmed;hudsonica;
5;2022-07-19;2022-08-23;morning;220823R1;cold;11;11;11;11;f1;1;28.55;f;806;807;790;side;not confirmed;hudsonica;
5;2022-07-19;2022-08-23;morning;220823R2;cold;11;11;11;11;f1;2;28.11;m;752;750;748;side;not confirmed;hudsonica;
5;2022-07-19;2022-08-23;morning;220823R3;cold;11;11;11;11;f1;3;29.20;f;737;731;734;top;not confirmed;hudsonica;
5;2022-07-19;2022-08-23;morning;220823R4;cold;11;11;11;11;f1;4;26.58;m;701;701;694;top;not confirmed;hudsonica;
5;2022-07-19;2022-08-23;morning;220823R5;cold;11;11;11;11;f1;5;27.78;f;755;766;748;side;hudsonica;hudsonica;a bit squished
5;2022-07-19;2022-08-23;morning;220823R6;cold;11;11;11;11;f1;6;27.38;m;715;729;736;side;hudsonica;hudsonica;a bit squished
5;2022-07-19;2022-08-23;morning;220823R7;cold;11;11;11;11;f1;7;28.22;f;755;755;755;top;not confirmed;hudsonica;
5;2022-07-19;2022-08-23;morning;220823R8;cold;11;11;11;11;f1;8;27.17;m;691;701;695;top;not confirmed;hudsonica;
5;2022-07-19;2022-08-23;morning;220823R9;cold;10.8;10.8;10.8;10.8;f1;9;27.26;m;740;739;743;top;not confirmed;hudsonica;
5;2022-07-19;2022-08-23;morning;220823R10;cold;10.8;10.8;10.8;10.8;f1;10;33.86;f;835;841;841;top;tonsa;tonsa;
5;2022-07-19;2022-08-23;afternoon;220823L1;cold;10.8;10.8;10.8;10.8;f1;1;26.75;m;698;706;702;side;not confirmed;hudsonica;
5;2022-07-19;2022-08-23;afternoon;220823L2;cold;10.8;10.8;10.8;10.8;f1;2;26.36;m;748;754;748;side;not confirmed;hudsonica;
5;2022-07-19;2022-08-23;afternoon;220823L3;cold;10.8;10.8;10.8;10.8;f1;3;27.69;f;745;745;758;top;not confirmed;hudsonica;
5;2022-07-19;2022-08-23;afternoon;220823L4;cold;10.8;10.8;10.8;10.8;f1;4;28.13;f;762;759;762;side;hudsonica;hudsonica;
5;2022-07-19;2022-08-23;afternoon;220823L5;cold;10.8;10.8;10.8;10.8;f1;5;27.40;m;703;700;700;side;not confirmed;hudsonica;
5;2022-07-19;2022-08-23;afternoon;220823L6;cold;10.8;10.8;10.8;10.8;f1;6;27.78;m;684;681;683;top;not confirmed;hudsonica;
5;2022-07-19;2022-08-23;afternoon;220823L7;cold;10.8;10.8;10.8;10.8;f1;7;28.39;f;792;792;792;top;not confirmed;hudsonica;
5;2022-07-19;2022-08-23;afternoon;220823L8;cold;10.8;10.8;10.8;10.8;f1;8;27.94;m;737;740;740;top;not confirmed;hudsonica;
5;2022-07-19;2022-08-23;afternoon;220823L9;cold;10.8;10.8;10.8;10.8;f1;9;28.02;f;779;777;783;side;not confirmed;hudsonica;
5;2022-07-19;2022-08-23;afternoon;220823L10;cold;10.8;10.8;10.8;10.8;f1;10;28.47;f;842;843;836;side;not confirmed;hudsonica;
5;2022-07-19;2022-08-24;morning;220824L1;cold;10.8;10.8;10.8;10.8;f1;1;27.69;f;790;790;796;top;not confirmed;hudsonica;
5;2022-07-19;2022-08-24;morning;220824L2;cold;10.8;10.8;10.8;10.8;f1;2;27.15;m;687;697;686;top;not confirmed;hudsonica;
5;2022-07-19;2022-08-24;morning;220824L3;cold;10.8;10.8;10.8;10.8;f1;3;26.93;m;711;701;716;side;not confirmed;hudsonica;
5;2022-07-19;2022-08-24;morning;220824L4;cold;10.8;10.8;10.8;10.8;f1;4;27.23;m;699;696;695;top;not confirmed;hudsonica;
5;2022-07-19;2022-08-24;morning;220824L5;cold;10.8;10.8;10.8;10.8;f1;5;28.44;f;740;740;740;top;not confirmed;hudsonica;
5;2022-07-19;2022-08-24;morning;220824L6;cold;10.8;10.8;10.8;10.8;f1;6;28.31;f;758;760;770;side;not confirmed;hudsonica;
5;2022-07-19;2022-08-24;morning;220824L7;cold;10.8;10.8;10.8;10.8;f1;7;27.57;m;688;679;684;side;not confirmed;hudsonica;
5;2022-07-19;2022-08-24;morning;220824L8;cold;10.8;10.8;10.8;10.8;f1;8;33.99;f;840;840;837;side;tonsa;tonsa;
5;2022-07-19;2022-08-24;morning;220824L9;cold;10.8;10.8;10.8;10.8;f1;9;28.07;m;724;720;720;top;not confirmed;hudsonica;
5;2022-07-19;2022-08-24;morning;220824L10;cold;10.8;10.8;10.8;10.8;f1;10;28.94;f;795;792;795;side;not confirmed;hudsonica;
5;2022-07-19;2022-08-24;afternoon;220824R1;cold;10.8;10.8;10.8;10.8;f1;1;27.57;m;732;734;739;side;not confirmed;hudsonica;
5;2022-07-19;2022-08-24;afternoon;220824R2;cold;10.8;10.8;10.8;10.8;f1;2;28.07;f;825;823;826;side;not confirmed;hudsonica;
5;2022-07-19;2022-08-24;afternoon;220824R3;cold;10.8;10.8;10.8;10.8;f1;3;27.82;m;750;750;743;side;not confirmed;hudsonica;
5;2022-07-19;2022-08-24;afternoon;220824R4;cold;10.8;10.8;10.8;10.8;f1;4;27.88;f;740;746;734;top;not confirmed;hudsonica;
5;2022-07-19;2022-08-24;afternoon;220824R5;cold;10.8;10.8;10.8;10.8;f1;5;27.33;m;738;730;732;side;not confirmed;hudsonica;
5;2022-07-19;2022-08-24;afternoon;220824R6;cold;10.8;10.8;10.8;10.8;f1;6;28.56;f;788;788;790;side;not confirmed;hudsonica;
5;2022-07-19;2022-08-24;afternoon;220824R7;cold;10.8;10.8;10.8;10.8;f1;7;28.26;f;747;753;740;side;not confirmed;hudsonica;
5;2022-07-19;2022-08-24;afternoon;220824R8;cold;10.8;10.8;10.8;10.8;f1;8;27.95;m;727;733;730;top;not confirmed;hudsonica;
5;2022-07-19;2022-08-24;afternoon;220824R9;cold;10.8;10.8;10.8;10.8;f1;9;27.40;m;747;742;743;side;not confirmed;hudsonica;
5;2022-07-19;2022-08-24;afternoon;220824R10;cold;10.8;10.8;10.8;10.8;f1;10;28.87;f;792;788;792;top;not confirmed;hudsonica;
